t,Phase,Marker,WR,HR,V'O2,V'CO2,FEetO2,FEetCO2,V'E,VT,BF,RpM
0:35:05.380,Exercise,,260,174,3.11,3.36,16.4,5.2,117.1,2.89,41,80
0:35:07.060,Exercise,,260,174,2.93,3.19,16.2,5.5,104.6,2.93,36,82
0:35:08.560,Exercise,,260,174,2.91,3.15,16.3,5.2,109.7,2.74,40,82
0:35:10.060,Exercise,,260,174,3.08,3.39,16.4,5.3,118.9,2.97,40,81
0:35:11.780,Exercise,,260,174,2.90,3.16,16.1,5.6,97.9,2.81,35,81
0:35:13.380,Exercise,,260,174,3.02,3.31,16.3,5.3,107.0,2.85,38,82
0:35:15.120,Exercise,,260,174,2.83,3.06,16.1,5.5,98.9,2.87,34,82
0:35:19.100,Exercise,,260,174,3.37,3.61,16.0,5.6,114.2,3.31,34,82
0:35:20.560,Exercise,,260,174,3.29,3.60,16.3,5.3,122.3,2.98,41,82
0:35:21.980,Exercise,,260,174,3.09,3.44,16.5,5.2,123.4,2.92,42,79
0:35:23.480,Exercise,,260,174,2.95,3.24,16.3,5.3,111.6,2.79,40,79
0:35:25.120,Exercise,,260,174,2.78,2.98,16.0,5.7,97.4,2.66,37,83
0:35:26.760,Exercise,,260,174,3.17,3.44,16.2,5.4,111.3,3.04,37,83
0:35:28.300,Exercise,,260,174,3.17,3.45,16.2,5.4,117.0,3.00,39,84
0:35:30.220,Exercise,,260,179,2.76,2.96,15.7,5.9,84.6,2.71,31,84
0:35:31.860,Exercise,,260,179,3.06,3.27,16.0,5.6,107.0,2.92,37,80
0:35:33.560,Exercise,,260,174,3.05,3.12,15.8,5.8,100.5,2.85,35,78
0:35:35.180,Exercise,,260,174,3.21,3.45,16.2,5.4,114.0,3.08,37,78
0:35:36.940,Exercise,,260,174,3.24,3.49,16.2,5.4,116.5,3.42,34,82
0:35:38.680,Exercise,,260,174,3.15,3.46,16.3,5.4,114.4,3.32,34,82
0:35:40.320,Exercise,,260,174,3.19,3.50,16.3,5.4,116.7,3.19,37,79
0:35:41.900,Exercise,,260,174,3.33,3.69,16.4,5.3,120.6,3.18,38,79
0:35:43.540,Exercise,,260,174,3.32,3.69,16.4,5.3,124.9,3.41,37,79
0:35:45.180,Exercise,,260,174,3.01,3.33,16.4,5.3,110.3,3.02,37,79
0:35:46.520,Exercise,,260,174,3.37,3.84,16.7,5.0,137.0,3.06,45,85
0:35:47.960,Exercise,,260,174,3.09,3.52,16.6,5.2,126.8,3.04,42,85
0:35:49.500,Exercise,,260,179,3.12,3.53,16.5,5.3,121.0,3.11,39,82
0:35:51.200,Exercise,,260,179,3.18,3.59,16.6,5.2,122.6,3.47,35,82
0:35:52.940,Exercise,,260,179,3.10,3.52,16.5,5.4,116.6,3.38,34,83
0:35:54.560,Exercise,,260,174,3.20,3.58,16.5,5.3,121.0,3.27,37,81
0:35:56.120,Exercise,,260,174,3.24,3.61,16.3,5.4,118.7,3.09,38,81
0:35:57.740,Exercise,,260,179,3.22,3.58,16.4,5.3,123.6,3.34,37,80
0:35:59.340,Exercise,,260,179,3.04,3.25,16.4,5.2,120.5,3.21,38,80
0:36:01.040,Exercise,,260,179,3.15,3.40,16.5,5.3,121.7,3.45,35,78
0:36:02.500,Exercise,,260,174,3.40,3.71,16.7,5.0,138.5,3.37,41,78
0:36:03.980,Exercise,,260,179,3.23,3.54,16.6,5.2,131.4,3.24,41,82
0:36:05.940,Exercise,,260,174,2.91,3.12,15.9,5.8,95.7,3.13,31,82
0:36:07.620,Exercise,,260,174,3.24,3.45,16.3,5.4,121.2,3.39,36,79
0:36:09.300,Exercise,,260,183,3.29,3.51,16.2,5.4,121.0,3.39,36,79
0:36:11.060,Exercise,,260,179,3.17,3.37,16.2,5.4,113.5,3.33,34,83
0:36:12.600,Exercise,,260,174,3.28,3.51,16.7,5.0,128.1,3.29,39,80
0:36:14.000,Exercise,,260,179,3.40,3.71,16.8,4.9,138.1,3.22,43,80
0:36:15.500,Exercise,,260,179,3.40,3.89,16.7,5.0,138.1,3.45,40,80
0:36:17.200,Exercise,,260,179,2.92,3.31,16.7,5.1,117.6,3.33,35,84
0:36:18.820,Exercise,,260,183,3.03,3.43,16.6,5.1,118.0,3.19,37,81
0:36:20.440,Exercise,,260,179,3.17,3.58,16.6,5.1,124.1,3.35,37,81
0:36:22.000,Exercise,,260,179,3.13,3.51,16.5,5.2,122.6,3.19,38,80
0:36:23.900,Exercise,,260,179,2.91,3.29,16.6,5.1,111.1,3.52,32,80
0:36:25.340,Exercise,,260,179,3.44,3.85,16.4,5.2,131.2,3.15,42,81
0:36:26.820,Exercise,,260,179,3.27,3.66,16.5,5.2,130.8,3.23,41,81
0:36:28.320,Exercise,,260,179,3.24,3.63,16.4,5.2,128.5,3.21,40,79
0:36:29.760,Exercise,,260,179,3.09,3.47,16.5,5.1,120.5,2.89,42,79
0:36:31.300,Exercise,,260,179,3.45,3.70,16.5,5.2,131.3,3.37,39,80
0:36:32.720,Exercise,,260,179,3.38,3.63,16.6,5.1,137.5,3.26,42,80
0:36:34.160,Exercise,,260,179,3.11,3.52,16.7,5.0,128.9,3.10,42,75
0:36:35.600,Exercise,,260,183,3.33,3.80,16.7,5.0,133.4,3.20,42,75
0:36:37.120,Exercise,,260,179,2.65,2.98,16.4,5.2,102.7,2.60,39,79
0:36:38.600,Exercise,,260,183,3.12,3.53,16.6,5.1,124.0,3.06,41,79
0:36:39.880,Exercise,,260,179,3.48,3.96,16.7,4.9,145.3,3.10,47,74
0:36:41.200,Exercise,,260,179,3.26,3.74,16.8,4.8,135.9,2.99,45,74
0:36:42.540,Exercise,,260,183,3.08,3.51,16.9,4.8,131.8,2.94,45,74
0:36:43.840,Exercise,,260,179,3.16,3.63,16.8,4.9,132.7,2.88,46,76
0:36:45.120,Exercise,,260,179,3.28,3.74,16.7,5.0,137.0,2.92,47,76
0:36:46.580,Exercise,,260,179,3.33,3.77,16.7,5.1,136.7,3.33,41,79
0:36:48.040,Exercise,,260,183,2.95,3.35,16.8,5.0,125.2,3.05,41,79
0:36:49.540,Exercise,,260,179,3.41,3.83,16.6,5.1,135.8,3.39,40,81
0:36:51.040,Exercise,,260,179,3.04,3.42,16.8,4.9,127.2,3.18,40,81
0:36:52.360,Exercise,,260,183,3.25,3.66,16.8,4.9,136.4,3.00,45,80
0:36:54.080,Exercise,,260,179,3.02,3.36,16.4,5.2,108.9,3.12,35,80
0:36:55.560,Exercise,,260,183,3.32,3.71,16.7,5.1,137.8,3.40,41,79
0:36:56.980,Exercise,,260,179,3.26,3.63,16.8,4.9,134.8,3.19,42,79
0:36:58.760,Exercise,,260,179,2.92,3.20,16.3,5.4,98.3,2.92,34,79
0:37:00.340,Exercise,,260,183,3.45,3.81,16.6,5.0,135.3,3.56,38,79
0:37:01.800,Exercise,,260,179,3.14,3.49,16.5,5.1,128.0,3.12,41,77
0:37:03.140,Exercise,,260,183,3.50,3.88,16.8,4.9,148.2,3.31,45,77
0:37:04.440,Exercise,,260,179,3.37,3.80,16.8,4.9,138.2,3.00,46,79
0:37:05.780,Exercise,,260,179,3.24,3.59,16.8,4.9,132.7,2.96,45,79
0:37:07.120,Exercise,,260,179,3.13,3.47,16.7,4.9,135.1,3.02,45,81
0:37:08.540,Exercise,,260,183,3.12,3.43,16.7,5.0,130.4,3.09,42,81
0:37:09.960,Exercise,,260,183,3.38,3.75,16.8,4.9,139.8,3.31,42,85
0:37:11.480,Exercise,,260,183,3.33,3.72,16.7,5.0,134.0,3.39,39,85
0:37:12.900,Exercise,,260,183,3.31,3.66,16.8,4.9,138.0,3.27,42,82
0:37:14.460,Exercise,,260,179,3.04,3.35,16.5,5.1,121.8,3.17,38,82
0:37:15.760,Exercise,,260,179,3.13,3.40,16.5,5.1,125.7,2.72,46,82
0:37:17.180,Exercise,,260,183,3.31,3.58,16.5,5.0,127.5,3.02,42,82
0:37:18.660,Exercise,,260,179,3.21,3.45,16.4,5.1,123.8,3.05,41,82
0:37:20.060,Exercise,,260,183,3.28,3.58,16.7,5.0,132.1,3.08,43,78
0:37:21.400,Exercise,,260,179,3.30,3.64,16.7,4.9,136.5,3.05,45,78
0:37:22.860,Exercise,,260,183,3.16,3.44,16.6,5.0,127.6,3.11,41,78
0:37:24.440,Exercise,,260,179,3.03,3.24,16.4,5.2,118.5,3.12,38,78
0:37:25.860,Exercise,,260,183,3.19,3.41,16.4,5.2,121.0,2.87,42,82
0:37:27.340,Exercise,,260,179,3.15,3.37,16.4,5.2,120.5,2.97,41,82
0:37:28.840,Exercise,,260,183,3.46,3.74,16.5,5.1,132.4,3.31,40,76
0:37:30.400,Exercise,,260,179,3.06,3.32,16.6,5.0,122.8,3.19,38,76
0:37:31.840,Exercise,,260,179,3.14,3.27,16.5,5.2,124.2,2.98,42,74
0:37:33.140,Exercise,,260,179,3.38,3.50,16.6,5.0,137.0,2.97,46,74
0:37:34.560,Exercise,,260,183,3.35,3.52,16.8,4.9,137.4,3.25,42,78
0:37:36.020,Exercise,,260,183,3.17,3.36,16.8,4.8,131.5,3.20,41,78
0:37:37.580,Exercise,,260,179,3.15,3.38,16.7,5.1,120.8,3.14,38,76
0:37:38.960,Exercise,,260,183,3.48,3.93,16.9,4.8,146.9,3.38,43,76
0:37:40.120,Exercise,,260,183,3.33,3.87,17.2,4.5,156.6,3.03,52,75
0:37:41.260,Exercise,,260,188,3.26,3.79,17.3,4.5,156.2,2.97,53,75
0:37:42.400,Exercise,,260,183,3.28,3.84,17.2,4.6,157.9,3.00,53,76
0:37:43.640,Exercise,,260,183,3.21,3.70,17.1,4.6,150.7,3.11,48,76
0:37:44.760,Exercise,,260,183,3.24,3.77,17.2,4.6,152.0,2.84,54,76
0:37:45.940,Exercise,,290,183,3.24,3.69,17.1,4.6,148.7,2.92,51,74
0:37:47.900,Exercise,,290,183,2.40,2.61,15.9,5.7,74.5,2.43,31,74
0:37:49.080,Exercise,,290,183,3.80,4.25,16.8,4.9,157.6,3.10,51,70
0:37:50.200,Exercise,,290,183,3.65,4.12,16.9,4.7,156.7,2.93,54,70
0:37:51.320,Exercise,,290,183,3.46,4.00,17.2,4.5,160.1,2.99,54,81
0:37:52.460,Exercise,,290,183,3.44,4.00,17.3,4.5,163.0,3.10,53,81
0:37:53.780,Exercise,,290,183,3.23,3.73,17.1,4.6,149.8,3.30,45,81
0:37:55.340,Exercise,,290,183,3.08,3.44,16.8,4.9,121.3,3.16,38,81
0:37:56.560,Exercise,,290,188,3.44,3.94,17.0,4.7,149.9,3.05,49,81
0:37:57.940,Exercise,,290,188,3.26,3.67,16.9,4.9,140.0,3.22,43,78
0:37:59.400,Exercise,,290,188,3.16,3.57,16.9,4.7,134.9,3.28,41,78
0:38:00.640,Exercise,,290,183,3.28,3.54,16.9,4.8,140.8,2.91,48,70
0:38:02.000,Exercise,,290,183,2.98,3.41,17.0,4.7,135.2,3.06,44,70
0:38:03.120,Exercise,,290,183,3.22,3.67,17.2,4.5,149.3,2.79,54,70
0:38:04.080,Exercise,,290,183,3.23,3.70,17.3,4.5,158.5,2.54,63,75
0:38:05.060,Exercise,,290,188,3.41,3.95,17.3,4.4,166.5,2.72,61,75
0:38:06.080,Exercise,,290,183,3.31,3.89,17.2,4.5,157.2,2.67,59,75
0:38:07.180,Exercise,,290,183,3.22,3.77,17.2,4.5,152.5,2.80,55,86
0:38:08.300,Exercise,,290,183,3.08,3.59,17.3,4.4,151.7,2.83,54,86
0:38:09.320,Exercise,,290,183,3.32,3.89,17.4,4.4,162.7,2.77,59,81
0:38:10.380,Exercise,,290,188,3.17,3.75,17.3,4.4,154.6,2.73,57,81
0:38:11.380,Exercise,,290,188,3.16,3.71,17.4,4.3,161.9,2.70,60,81
0:38:12.940,Exercise,,290,183,5.47,6.47,17.1,4.6,233.2,3.19,73,76
0:38:13.900,Exercise,,290,188,3.38,3.91,17.2,4.5,159.9,2.56,63,76
0:38:15.160,Exercise,,290,183,2.91,3.24,16.8,4.9,122.6,2.58,48,76
0:38:16.640,Exercise,,290,183,3.00,3.24,16.4,5.2,111.3,2.75,41,77
0:38:17.880,Exercise,,290,188,3.17,3.53,16.8,4.8,132.9,2.75,48,77
0:38:18.960,Exercise,,290,188,3.30,3.53,17.0,4.7,147.0,2.65,56,79
0:38:20.000,Exercise,,290,183,3.23,3.44,17.3,4.4,155.2,2.69,58,79
0:38:20.980,Exercise,,290,183,3.33,3.68,17.4,4.3,164.6,2.69,61,79
0:38:22.040,Exercise,,290,188,3.11,3.50,17.6,4.2,162.9,2.88,57,73
0:38:23.200,Exercise,,290,188,3.41,3.88,17.4,4.4,172.8,3.34,52,73
0:38:24.340,Exercise,,290,183,3.14,3.59,17.5,4.3,164.3,3.12,53,72
0:38:25.300,Exercise,,290,183,3.28,3.59,17.6,4.2,176.3,2.82,63,72
0:38:26.260,Exercise,,290,183,3.12,3.50,17.4,4.3,163.3,2.61,63,72
0:38:27.300,Exercise,,290,188,3.22,3.59,17.4,4.3,161.8,2.81,58,72
0:38:28.420,Exercise,,290,188,3.17,3.49,17.1,4.6,151.1,2.82,54,72
0:38:29.420,Exercise,,290,188,3.06,3.29,17.3,4.4,151.7,2.53,60,72
0:38:30.360,Exercise,,290,188,3.29,3.55,17.4,4.3,169.3,2.65,64,71
0:38:31.340,Exercise,,290,183,3.31,3.67,17.5,4.2,165.9,2.71,61,71
0:38:32.360,Exercise,,290,188,3.13,3.47,17.5,4.3,160.8,2.73,59,71
0:38:33.380,Exercise,,290,188,3.19,3.52,17.3,4.5,160.5,2.73,59,67
0:38:34.520,Exercise,,290,188,2.96,3.50,17.3,4.4,144.3,2.74,53,67
0:38:35.560,Exercise,,290,183,3.09,3.54,17.5,4.2,160.6,2.78,58,67
0:38:36.420,Exercise,,290,188,3.22,3.67,17.6,4.1,165.7,2.38,70,68
0:38:37.300,Exercise,,290,188,3.19,3.69,17.5,4.3,162.5,2.38,68,68
0:38:38.280,Exercise,,290,183,3.19,3.73,17.5,4.3,167.1,2.73,61,68
0:38:39.200,Exercise,,290,188,3.22,3.68,17.5,4.2,163.4,2.51,65,68
0:38:40.080,Exercise,,290,188,3.14,3.63,17.4,4.4,159.3,2.34,68,68
0:38:41.020,Exercise,,290,192,3.09,3.62,17.5,4.3,156.0,2.45,64,68
0:38:42.060,Exercise,,290,188,3.17,3.73,17.4,4.4,156.3,2.71,58,68
0:38:43.040,Exercise,,290,188,3.15,3.66,17.4,4.3,158.9,2.60,61,64
0:38:43.940,Exercise,,290,183,3.20,3.51,17.5,4.2,167.6,2.51,67,64
0:38:44.840,Exercise,,290,188,3.30,3.69,17.7,4.1,175.8,2.64,67,64
0:38:45.880,Exercise,,290,183,3.12,3.56,17.4,4.3,158.3,2.74,58,64
0:38:46.800,Exercise,,290,188,3.03,3.37,17.5,4.3,154.2,2.37,65,64
0:38:47.760,Exercise,,290,188,3.18,3.71,17.4,4.4,159.4,2.55,63,64
0:38:49.000,Exercise,,290,188,2.68,3.06,16.9,4.8,118.5,2.45,48,64
0:38:49.980,Exercise,,290,192,3.36,3.87,17.4,4.4,165.5,2.70,61,64
0:38:50.940,Exercise,,290,188,3.32,3.90,17.5,4.2,172.9,2.77,63,64
0:38:51.900,Exercise,,290,183,3.35,3.92,17.4,4.3,170.3,2.72,63,65
0:38:52.840,Exercise,,290,188,3.11,3.63,17.5,4.3,162.9,2.55,64,65
0:38:53.860,Exercise,,290,183,3.11,3.63,17.4,4.3,160.7,2.73,59,65
0:38:54.800,Exercise,,290,188,3.12,3.63,17.5,4.3,162.5,2.55,64,61
0:38:55.740,Exercise,,290,188,3.26,3.79,17.5,4.1,169.4,2.66,64,61
0:38:56.660,Exercise,,290,188,3.27,3.80,17.5,4.2,170.9,2.62,65,61
0:38:57.600,Exercise,,290,188,3.16,3.73,17.6,4.2,165.1,2.59,64,60
0:38:58.500,Exercise,,290,183,3.14,3.67,17.8,3.9,174.8,2.62,67,60
0:38:59.420,Exercise,,290,188,3.31,3.91,17.6,4.2,177.8,2.73,65,60
0:39:00.400,Exercise,,290,188,3.18,3.77,17.5,4.3,162.4,2.65,61,53
0:39:01.300,Recovery,,290,183,3.19,3.72,17.6,4.1,166.8,2.50,67,53
0:39:02.180,Recovery,,290,183,3.02,3.52,17.6,4.1,159.2,2.34,68,53
0:39:03.180,Recovery,,210,188,3.09,3.65,17.4,4.3,162.2,2.70,60,28
0:39:04.240,Recovery,,210,188,2.90,3.42,17.5,4.3,156.6,2.77,57,28
0:39:05.360,Recovery,,210,183,2.60,3.10,17.5,4.2,141.9,2.65,54,28
0:39:06.500,Recovery,,25,183,2.60,3.07,17.6,4.2,143.3,2.72,53,31
0:39:07.660,Recovery,,25,188,2.72,3.18,17.4,4.3,143.3,2.77,52,31
0:39:08.920,Recovery,,25,183,2.60,3.10,17.4,4.4,134.6,2.83,48,31
0:39:10.160,Recovery,,25,183,2.63,3.08,17.3,4.5,131.3,2.71,48,26
0:39:11.440,Recovery,,25,183,2.65,3.05,17.2,4.5,127.8,2.73,47,26
0:39:12.740,Recovery,,25,188,2.66,3.01,17.0,4.7,123.5,2.68,46,30
0:39:14.080,Recovery,,25,183,2.66,2.98,17.0,4.7,123.0,2.75,45,30
0:39:15.500,Recovery,,25,179,2.68,3.00,17.0,4.7,119.6,2.83,42,33
0:39:16.900,Recovery,,25,183,2.79,3.13,16.8,4.9,119.7,2.79,43,33
0:39:18.360,Recovery,,25,183,2.60,2.89,16.9,4.9,112.9,2.75,41,33
0:39:19.780,Recovery,,25,179,2.67,2.99,16.8,4.8,115.3,2.73,42,33
0:39:21.200,Recovery,,25,183,2.67,2.88,16.8,5.0,115.0,2.72,42,34
0:39:22.540,Recovery,,25,179,2.59,2.96,17.0,4.8,117.0,2.61,45,34
0:39:23.940,Recovery,,25,179,2.65,3.05,16.9,5.0,116.0,2.71,43,34
0:39:25.420,Recovery,,25,174,2.47,2.76,17.0,4.9,108.8,2.68,41,43
0:39:26.880,Recovery,,25,174,2.42,2.73,16.9,5.0,107.1,2.61,41,43
0:39:28.280,Recovery,,25,179,2.38,2.68,17.0,4.9,108.6,2.54,43,40
0:39:29.740,Recovery,,25,174,2.45,2.82,17.1,4.8,111.5,2.71,41,40
0:39:31.240,Recovery,,25,179,2.24,2.65,17.3,4.8,110.3,2.76,40,45
0:39:32.680,Recovery,,25,174,2.29,2.74,17.4,4.7,116.3,2.79,42,45
0:39:34.140,Recovery,,25,170,2.22,2.70,17.5,4.7,114.2,2.78,41,47
0:39:35.580,Recovery,,25,174,2.15,2.64,17.6,4.5,113.6,2.73,42,47
0:39:36.900,Recovery,,25,174,2.10,2.64,17.8,4.4,119.3,2.63,45,48
0:39:38.260,Recovery,,25,170,2.35,2.92,17.6,4.6,120.5,2.73,44,48
0:39:39.640,Recovery,,25,167,2.22,2.95,17.8,4.4,125.8,2.90,43,50
0:39:41.000,Recovery,,25,170,2.04,2.72,17.9,4.4,120.8,2.74,44,50
0:39:42.360,Recovery,,25,174,1.95,2.58,17.8,4.4,111.8,2.54,44,49
0:39:44.480,Recovery,,25,170,1.37,1.72,16.8,5.4,53.1,1.88,28,49
0:39:45.880,Recovery,,25,170,2.26,2.84,17.3,4.9,110.9,2.59,43,47
0:39:47.300,Recovery,,25,170,2.12,2.69,17.5,4.7,109.1,2.58,42,47
0:39:48.640,Recovery,,25,167,2.15,2.77,17.6,4.7,113.9,2.54,45,46
0:39:49.960,Recovery,,25,167,1.96,2.60,17.8,4.4,110.7,2.44,45,46
0:39:51.240,Recovery,,25,167,2.22,2.99,17.8,4.5,126.7,2.70,47,46
0:39:52.580,Recovery,,25,163,1.91,2.59,18.0,4.3,114.1,2.55,45,47
0:39:53.860,Recovery,,25,163,1.84,2.48,18.0,4.3,111.5,2.38,47,47
0:39:55.320,Recovery,,25,167,1.80,2.50,18.1,4.3,111.2,2.71,41,51
0:39:56.700,Recovery,,25,163,1.81,2.53,18.1,4.2,113.7,2.62,43,51
0:39:58.040,Recovery,,25,163,1.66,2.33,18.2,4.2,108.5,2.42,45,53
0:39:59.520,Recovery,,25,160,1.72,2.44,18.2,4.1,113.2,2.79,41,53
0:40:01.000,Recovery,,25,160,1.68,2.42,18.3,4.1,113.8,2.81,41,54
0:40:02.400,Recovery,,25,160,1.56,2.24,18.3,4.1,104.0,2.43,43,54
0:40:03.860,Recovery,,25,160,1.57,2.24,18.2,4.1,103.8,2.53,41,57
0:40:05.300,Recovery,,25,160,1.56,2.22,18.2,4.1,102.2,2.45,42,57
0:40:06.740,Recovery,,25,156,1.58,2.22,18.2,4.2,101.2,2.43,42,61
0:40:08.260,Recovery,,25,156,1.46,2.03,18.1,4.2,93.0,2.36,39,61
0:40:09.760,Recovery,,25,160,1.59,2.16,18.0,4.3,95.9,2.40,40,63
0:40:11.200,Recovery,,25,160,1.62,2.20,18.0,4.2,99.8,2.40,42,63
0:40:12.860,Recovery,,25,156,1.34,1.77,17.7,4.5,70.9,1.96,36,65
0:40:14.160,Recovery,,25,156,1.29,1.67,17.7,4.4,74.3,1.61,46,65
0:40:15.780,Recovery,,25,153,1.62,2.06,17.7,4.5,90.8,2.45,37,66
0:40:17.480,Recovery,,25,153,1.66,2.13,17.9,4.3,94.8,2.69,35,66
0:40:19.060,Recovery,,25,156,1.56,1.99,17.9,4.2,93.9,2.47,38,65
0:40:20.700,Recovery,,25,153,1.48,1.90,17.9,4.2,85.7,2.34,37,65
0:40:22.200,Recovery,,25,153,1.34,1.71,17.9,4.2,79.1,1.98,40,64
0:40:24.940,Recovery,,25,153,0.58,0.74,19.1,2.8,36.9,1.69,22,64
